optS0 = -1603.15490549
tdS0 = -1603.06533117
optS1 = -1603.07442199
optR1 = -1603.06810528

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.3349    1.3340    1.3307
  R2         R(1,5)    1.3895    1.4108    1.4085
  R3        R(1,19)    1.5541    1.5426    1.5438
  R4         R(2,3)    1.4176    1.4223    1.4220
  R5        R(2,21)    1.0882    1.0876    1.0871
  R6         R(3,4)    1.3959    1.4135    1.4135
  R7        R(3,30)    1.4710    1.4501    1.4516
  R8         R(4,5)    1.4152    1.4027    1.4010
  R9        R(4,22)    1.0863    1.0844    1.0842
 R10        R(5,12)    1.4055    1.4223    1.4438
 R11         R(6,7)    1.3927    1.3925    1.3896
 R12        R(6,11)    1.4031    1.4066    1.4162
 R13        R(6,23)    1.0908    1.0912    1.0867
 R14         R(7,8)    1.3955    1.3960    1.3962
 R15        R(7,24)    1.0902    1.0907    1.0906
 R16         R(8,9)    1.3955    1.3956    1.3961
 R17        R(8,25)    1.0904    1.0904    1.0901
 R18        R(9,10)    1.3927    1.3929    1.3896
 R19        R(9,26)    1.0902    1.0907    1.0906
 R20       R(10,11)    1.4030    1.4062    1.4162
 R21       R(10,27)    1.0907    1.0907    1.0867
 R22       R(11,12)    1.4782    1.4727    1.4549
 R23       R(12,13)    1.4055    1.4230    1.4436
 R24       R(13,14)    1.4152    1.4022    1.4011
 R25       R(13,17)    1.3887    1.4091    1.4083
 R26       R(14,15)    1.3958    1.4134    1.4133
 R27       R(14,28)    1.0865    1.0851    1.0843
 R28       R(15,16)    1.4178    1.4231    1.4220
 R29       R(15,40)    1.4709    1.4499    1.4518
 R30       R(16,17)    1.3348    1.3337    1.3309
 R31       R(16,29)    1.0881    1.0875    1.0871
 R32       R(17,19)    1.5527    1.5410    1.5436
 R33       R(18,19)    1.3923    1.3957    1.3900
 R34       R(19,20)    1.3965    1.4030    1.3975
 R35       R(30,31)    1.4062    1.4139    1.4130
 R36       R(30,32)    1.3986    1.4080    1.4070
 R37       R(31,33)    1.3854    1.3806    1.3810
 R38       R(31,36)    1.0912    1.0902    1.0902
 R39       R(32,34)    1.3956    1.3888    1.3895
 R40       R(32,37)    1.0913    1.0903    1.0904
 R41       R(33,35)    1.4031    1.4073    1.4069
 R42       R(33,38)    1.0903    1.0900    1.0900
 R43       R(34,35)    1.3984    1.4033    1.4028
 R44       R(34,39)    1.0885    1.0881    1.0882
 R45       R(35,50)    1.3554    1.3461    1.3470
 R46       R(40,41)    1.4062    1.4139    1.4129
 R47       R(40,42)    1.3986    1.4080    1.4070
 R48       R(41,43)    1.3855    1.3805    1.3810
 R49       R(41,46)    1.0912    1.0902    1.0903
 R50       R(42,44)    1.3955    1.3888    1.3896
 R51       R(42,47)    1.0913    1.0902    1.0904
 R52       R(43,45)    1.4030    1.4074    1.4069
 R53       R(43,48)    1.0903    1.0900    1.0900
 R54       R(44,45)    1.3984    1.4034    1.4027
 R55       R(44,49)    1.0885    1.0881    1.0882
 R56       R(45,55)    1.3554    1.3460    1.3471
 R57       R(50,51)    1.4170    1.4202    1.4200
 R58       R(51,52)    1.0947    1.0942    1.0942
 R59       R(51,53)    1.1013    1.1005    1.1005
 R60       R(51,54)    1.1012    1.1005    1.1005
 R61       R(55,56)    1.4170    1.4203    1.4199
 R62       R(56,57)    1.0947    1.0942    1.0942
 R63       R(56,58)    1.1012    1.1005    1.1005
 R64       R(56,59)    1.1012    1.1005    1.1005
  A1       A(2,1,5)  108.2626  108.7739  109.3931
  A2      A(2,1,19)  125.5475  124.8907  127.8802
  A3      A(5,1,19)  125.5929  125.5637  122.7264
  A4       A(1,2,3)  110.5723  109.9848  109.6336
  A5      A(1,2,21)  120.4219  120.3360  120.3001
  A6      A(3,2,21)  128.9840  129.6473  130.0584
  A7       A(2,3,4)  105.7206  105.9724  105.9335
  A8      A(2,3,30)  126.0987  125.7971  125.9030
  A9      A(4,3,30)  128.1781  128.2284  128.1631
 A10       A(3,4,5)  107.5944  107.7071  107.9531
 A11      A(3,4,22)  127.2218  127.0323  126.2752
 A12      A(5,4,22)  125.1808  125.2550  125.5680
 A13       A(1,5,4)  107.8437  107.5424  107.0855
 A14      A(1,5,12)  120.8627  120.5427  119.4441
 A15      A(4,5,12)  131.2936  131.8997  133.0511
 A16      A(7,6,11)  120.1419  120.7986  121.4639
 A17      A(7,6,23)  120.2598  119.9205  118.4149
 A18     A(11,6,23)  119.5806  119.2692  120.0830
 A19       A(6,7,8)  120.1529  120.2878  120.7333
